Country,Actual,Predicted,Accuracy (%)
Saudi Arabia,96708.5,95308.3,99.7176
Scotland,31220.536585365855,31113.39024390244,99.7176
Senegal,6776.3125,6055.75,99.7176
Serbia,33181.346153846156,32596.26923076923,99.7176
Seychelles,739.918918918919,750.7297297297297,99.7176
Sierra Leone,1071.157894736842,1093.5263157894738,99.7176
Singapore,25304.95,24845.55,99.7176
Sint Maarten (Dutch part),293.6666666666667,295.5,99.7176
Slovakia,17702.344827586207,17809.48275862069,99.7176
Slovenia,10191.645161290322,9955.58064516129,99.7176
Solomon Islands,210.64285714285714,201.64285714285714,99.71760000000002
Somalia,705.3333333333334,599.2666666666667,99.7176
South Africa,12919.0,12381.30303030303,99.7176
South Korea,159123.38095238095,152575.33333333334,99.71760000000002
South Sudan,377.61538461538464,389.0,99.7176
Spain,178784.8,176357.2,99.7176
Sri Lanka,25909.464285714286,27153.035714285714,99.71760000000002
Sudan,5785.473684210527,5811.0,99.7176
Suriname,1395.8636363636363,1342.7727272727273,99.7176
Sweden,34079.05882352941,33726.08823529412,99.7176
Switzerland,39287.96153846154,39305.57692307692,99.7176
Syria,636.7647058823529,636.7647058823529,99.7176
Taiwan,6802.3,7019.3,99.7176
Tajikistan,826.7777777777778,1340.7777777777778,99.7176
Thailand,54000.85,53092.75,99.7176
Timor,1775.4166666666667,1780.4166666666667,99.7176
Togo,3649.4545454545455,3557.909090909091,99.7176
Tonga,643.5714285714286,640.8571428571429,99.71760000000002
Trinidad and Tobago,1213.4,1188.1333333333334,99.7176
Tunisia,13892.875,13052.5625,99.7176
Turkey,289717.1935483871,287874.48387096776,99.7176
Turks and Caicos Islands,231.06451612903226,231.93548387096774,99.7176
Tuvalu,51.375,45.375,99.7176
Uganda,8532.578947368422,8594.684210526315,99.7176
Ukraine,18227.285714285714,17831.285714285714,99.71760000000002
United Arab Emirates,90298.70370370371,90255.85185185185,99.7176
United Kingdom,445670.48387096776,447904.6451612903,99.7176
United States,1820947.5135135136,1824615.027027027,99.7176
Uruguay,31194.612903225807,30280.612903225807,99.7176
Uzbekistan,32833.9,32872.0,99.7176
Vanuatu,262.75,228.25,99.7176
Venezuela,10563.84,9776.36,99.7176
Vietnam,18005.068965517243,18066.275862068964,99.7176
Wales,22790.46875,22527.34375,99.7176
Wallis and Futuna,88.88888888888889,96.16666666666667,99.7176
Yemen,5143.4,5282.0,99.7176
Zambia,2622.8333333333335,2787.5833333333335,99.7176
Zimbabwe,9072.142857142857,9296.07142857143,99.71760000000002
